City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,37.51,87,40,13.8,scattered clouds
1,Mazamari,PE,-11.3258,-74.5308,66.52,97,90,1.97,overcast clouds
2,Riyadh,SA,24.6877,46.7219,87.94,12,4,8.75,clear sky
3,Saint-Augustin,CA,51.226,-58.6502,55.74,87,99,9.57,overcast clouds
4,Hobart,AU,-42.8794,147.3294,54.27,61,75,4.0,broken clouds
5,Minsk Mazowiecki,PL,52.1794,21.5725,62.62,89,100,12.35,heavy intensity rain
6,Coquimbo,CL,-29.9533,-71.3436,51.53,100,20,3.44,few clouds
7,Raudeberg,NO,61.9875,5.1352,52.47,83,16,13.42,few clouds
8,Jaque,PA,7.5175,-78.1703,79.25,89,100,7.0,moderate rain
9,Klaksvik,FO,62.2266,-6.589,47.32,80,96,4.25,overcast clouds
10,Galle,LK,6.0367,80.217,79.68,83,67,11.39,broken clouds
11,Cabo San Lucas,MX,22.8909,-109.9124,91.51,71,22,3.0,few clouds
12,Beira,MZ,-19.8436,34.8389,60.31,81,0,4.47,clear sky
13,Chancay,PE,-11.5714,-77.2672,62.56,87,33,7.96,scattered clouds
14,Prince Rupert,CA,54.3161,-130.3201,64.09,82,90,8.05,overcast clouds
15,Tavda,RU,58.0425,65.2726,60.4,90,1,7.36,clear sky
16,Rikitea,PF,-23.1203,-134.9692,69.21,57,3,20.0,clear sky
17,Cape Town,ZA,-33.9258,18.4232,57.11,85,0,3.0,clear sky
18,Hamilton,US,39.1834,-84.5333,70.57,71,0,5.68,clear sky
19,Khandyga,RU,62.6667,135.6,81.97,24,0,5.39,clear sky
20,Roros,NO,62.5747,11.3842,37.24,93,75,3.44,broken clouds
21,Avera,US,33.194,-82.5271,86.72,75,19,5.21,few clouds
22,Panjab,AF,34.388,67.0233,54.28,42,0,4.81,clear sky
23,Nabire,ID,-3.3667,135.4833,86.41,65,27,3.22,scattered clouds
24,Tasiilaq,GL,65.6145,-37.6368,41.36,77,100,3.0,overcast clouds
25,Itarema,BR,-2.9248,-39.9167,75.09,71,13,7.92,few clouds
26,Busselton,AU,-33.65,115.3333,49.05,69,100,7.94,overcast clouds
27,Bethel,US,41.3712,-73.414,70.38,91,90,3.44,moderate rain
28,Port Moresby,PG,-9.4431,147.1797,83.62,58,1,17.27,haze
29,Maine-Soroa,NE,13.2114,12.0241,75.52,80,85,15.79,overcast clouds
30,Port Alfred,ZA,-33.5906,26.891,60.44,83,77,15.21,light rain
31,Cherskiy,RU,68.75,161.3,42.31,68,80,23.58,broken clouds
32,Touros,BR,-5.1989,-35.4608,76.1,75,10,16.28,clear sky
33,Codrington,AU,-38.2667,141.9667,55.08,67,23,20.8,few clouds
34,Butaritari,KI,3.0707,172.7902,83.23,68,78,7.74,broken clouds
35,East London,ZA,-33.0153,27.9116,62.65,68,88,19.01,overcast clouds
36,Camacha,PT,33.0833,-16.3333,67.42,83,40,11.5,scattered clouds
37,Sovetskaya,RU,44.7769,41.1722,68.0,63,0,4.41,clear sky
38,Albany,US,42.6001,-73.9662,65.08,94,100,0.34,overcast clouds
39,Aswan,EG,24.0934,32.907,88.9,15,0,4.61,clear sky
40,Port Augusta,AU,-32.5,137.7667,57.34,51,99,22.15,overcast clouds
41,Saskylakh,RU,71.9167,114.0833,79.79,35,6,7.92,clear sky
42,Cidreira,BR,-30.1811,-50.2056,55.24,94,3,2.89,clear sky
43,Vaini,TO,-21.2,-175.2,75.36,73,20,16.11,light rain
44,Hermanus,ZA,-34.4187,19.2345,56.8,87,84,6.8,broken clouds
45,Vostok,RU,46.4856,135.8833,82.0,50,95,3.83,overcast clouds
46,Nanortalik,GL,60.1432,-45.2371,45.46,90,100,7.52,moderate rain
47,Pevek,RU,69.7008,170.3133,35.24,89,100,16.17,overcast clouds
48,Barrow,US,71.2906,-156.7887,44.6,75,84,15.57,broken clouds
49,Nemuro,JP,43.3236,145.575,63.03,99,100,3.98,overcast clouds
50,Port Elizabeth,ZA,-33.918,25.5701,61.09,72,20,23.02,moderate rain
51,Bluff,NZ,-46.6,168.3333,46.8,79,100,10.89,moderate rain
52,Tual,ID,-5.6667,132.75,81.27,78,27,10.56,scattered clouds
53,Gat,IL,31.61,34.7642,85.41,65,0,2.19,clear sky
54,Severo-Kurilsk,RU,50.6789,156.125,57.92,67,44,14.0,scattered clouds
55,Male,MV,4.1748,73.5089,82.35,78,75,5.75,broken clouds
56,Belmonte,BR,-15.8631,-38.8828,66.7,69,100,13.89,overcast clouds
57,Ponta Do Sol,PT,32.6667,-17.1,73.13,71,3,3.76,clear sky
58,Dillon,US,34.4166,-79.3712,77.2,80,91,4.63,overcast clouds
59,Chabahar,IR,25.2919,60.643,82.74,86,98,5.46,overcast clouds
