City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2021-06-06 03:07:57,-23.1203,-134.9692,76.1,81,69,12.8
1,Hilo,US,2021-06-06 03:05:18,19.7297,-155.09,80.28,78,27,4.0
2,Bluff,NZ,2021-06-06 03:07:58,-46.6,168.3333,49.8,70,78,4.74
3,Hami,CN,2021-06-06 03:07:58,42.8,93.45,79.74,20,79,5.66
4,Provideniya,RU,2021-06-06 03:07:58,64.3833,-173.3,41.54,64,37,1.59
5,Verkhnetulomskiy,RU,2021-06-06 03:07:59,68.6073,31.7962,41.13,59,4,6.26
6,Saint-Philippe,RE,2021-06-06 03:07:59,-21.3585,55.7679,72.48,83,57,2.13
7,Vaini,TO,2021-06-06 03:07:59,-21.2,-175.2,78.96,73,40,2.3
8,Jamestown,US,2021-06-06 03:08:00,42.097,-79.2353,72.72,72,1,1.01
9,Komsomolskiy,UZ,2021-06-06 03:08:00,40.4272,71.7189,86.72,20,0,11.5
10,Valdivia,CL,2021-06-06 03:08:00,-39.8142,-73.2459,42.89,97,53,1.7
11,Punta Arenas,CL,2021-06-06 03:08:01,-53.15,-70.9167,35.71,93,90,11.9
12,Saint-Joseph,RE,2021-06-06 03:08:01,-21.3667,55.6167,71.47,83,46,2.57
13,Dikson,RU,2021-06-06 03:08:01,73.5069,80.5464,30.72,95,100,11.5
14,Tasiilaq,GL,2021-06-06 03:08:02,65.6145,-37.6368,41.16,98,100,2.98
15,Arraial Do Cabo,BR,2021-06-06 03:08:02,-22.9661,-42.0278,72.93,86,0,21.54
16,Noshiro,JP,2021-06-06 03:08:02,40.2039,140.0242,70.7,58,93,13.62
17,Kemijarvi,FI,2021-06-06 03:08:03,66.7131,27.4306,53.06,66,10,6.35
18,Sao Joao Da Barra,BR,2021-06-06 03:05:08,-21.6403,-41.0511,72.18,88,0,9.89
19,Clyde River,CA,2021-06-06 03:08:03,70.4692,-68.5914,32.23,100,90,18.41
20,Namibe,AO,2021-06-06 03:08:03,-15.1961,12.1522,71.49,55,46,2.44
21,Sompeta,IN,2021-06-06 03:08:04,18.9333,84.6,89.65,63,5,11.72
22,Vila Franca Do Campo,PT,2021-06-06 03:08:04,37.7167,-25.4333,59.41,87,44,0.87
23,Carnarvon,AU,2021-06-06 03:08:04,-24.8667,113.6333,80.67,39,90,4.61
24,Hermanus,ZA,2021-06-06 03:08:05,-34.4187,19.2345,63.9,41,8,8.72
25,Dingle,PH,2021-06-06 03:08:05,10.9995,122.6711,83.07,77,100,7.54
26,Atuona,PF,2021-06-06 03:08:05,-9.8,-139.0333,79.34,69,18,14.18
27,Monrovia,LR,2021-06-06 03:03:31,6.3005,-10.7969,76.77,84,97,3.09
28,Gazli,UZ,2021-06-06 03:08:06,40.1333,63.45,94.26,16,0,4.54
29,Aswan,EG,2021-06-06 03:08:06,24.0934,32.907,76.23,30,5,13.27
30,Kamenka,RU,2021-06-06 03:08:06,51.3223,42.7678,54.59,97,100,10.16
31,Puerto Carreno,CO,2021-06-06 03:08:07,6.189,-67.4859,75.6,87,20,5.37
32,Vila Velha,BR,2021-06-06 03:05:11,-20.3297,-40.2925,68.95,96,20,3.0
